adoc_file,line_number,excerpt,parameter_name,named,class,value_type,confidence,notes
a-st-ext.adoc,98,"For LR and SC, the Zalrsc extension requires that the address held in rs1 be naturally aligned to the size of the operand (i.e., eight-byte aligned for doublewords and four-byte aligned for words). If the address is not naturally aligned, an address-misaligned exception or an access-fault exception will be generated.",LRSC_MISALIGNED_BEHAVIOR,yes,NORM_DIRECT,binary,high,
a-st-ext.adoc,113,"An implementation can register an arbitrarily large reservation set on each LR, provided the reservation set includes all bytes of the addressed data word or doubleword.",LRSC_RESERVATION_STRATEGY,yes,NORM_DIRECT,enum,high,
a-st-ext.adoc,115,"An SC may succeed only if no store from another hart to the reservation set can be observed to have occurred between the LR and the SC, and if there is no other SC between the LR and itself in program order.",LRSC_FAIL_ON_NON_EXACT_LRSC,yes,NORM_DIRECT,binary,medium,
a-st-ext.adoc,125,"Following this model, in systems with memory translation, an SC is allowed to succeed if the earlier LR reserved the same location using an alias with a different virtual address, but is also allowed to fail if the virtual address is different.",LRSC_FAIL_ON_VA_SYNONYM,yes,NORM_DIRECT,binary,high,
a-st-ext.adoc,378,"For AMOs, the Zaamo extension requires that the address held in rs1 be naturally aligned to the size of the operand (i.e., eight-byte aligned for doublewords and four-byte aligned for words). If the address is not naturally aligned, an address-misaligned exception or an access-fault exception will be generated.",MISALIGNED_AMO,yes,NORM_DIRECT,binary,high,
a-st-ext.adoc,384,"The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement. If present, the misaligned atomicity granule PMA specifies the size of a misaligned atomicity granule, a power-of-two number of bytes.",MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,yes,NORM_DIRECT,value,high,
b-st-ext.adoc,1088,"For RV32, the encodings corresponding to shamt[5]=1 are reserved.",BCLRI_SHAMT_RSV_RV32,no,NORM_DIRECT,binary,high,newly discovered
b-st-ext.adoc,1158,"For RV32, the encodings corresponding to shamt[5]=1 are reserved.",BEXTI_SHAMT_RSV_RV32,no,NORM_DIRECT,binary,high,newly discovered
b-st-ext.adoc,1228,"For RV32, the encodings corresponding to shamt[5]=1 are reserved.",BINVI_SHAMT_RSV_RV32,no,NORM_DIRECT,binary,high,newly discovered
b-st-ext.adoc,1298,"For RV32, the encodings corresponding to shamt[5]=1 are reserved.",BSETI_SHAMT_RSV_RV32,no,NORM_DIRECT,binary,high,newly discovered
bfloat16.adoc,149,"All of the BF16 instructions in the extensions defined in this specification (i.e., Zfbfmin, Zvfbfmin, and Zvfbfwma) fully support subnormal numbers. That is, instructions are able to accept subnormal values as inputs and they can produce subnormal results.",BF16_SUBNORMAL_SUPPORT,no,NORM_DIRECT,binary,high,newly discovered
bfloat16.adoc,549,SEW is any value other than 16,VFNCVTBF16_SEW_SUPPORT,no,NORM_CSR_WARL,set,high,newly discovered
bfloat16.adoc,612,SEW is any value other than 16,VFWCVTBF16_SEW_SUPPORT,no,NORM_CSR_WARL,set,high,newly discovered
bfloat16.adoc,707,SEW is any value other than 16,VFWMACCBF16_SEW_SUPPORT,no,NORM_CSR_WARL,set,high,newly discovered
c-st-ext.adoc,22,"The C extension allows 16-bit instructions to be freely intermixed with 32-bit instructions, with the latter now able to start on any 16-bit boundary, i.e., IALIGN=16.",IALIGN,no,NORM_DIRECT,value,high,newly discovered
c-st-ext.adoc,175,"CIW, CL, CS, CA, and CB are limited to just 8 of them.",COMPRESSED_REGISTER_SET,no,NORM_DIRECT,set,high,newly discovered
c-st-ext.adoc,185,"Compressed register-based floating-point loads and stores also use the CL and CS formats respectively, with the eight registers mapping to `f8` to `f15`.",COMPRESSED_FP_REGISTER_SET,no,NORM_DIRECT,set,high,newly discovered
c-st-ext.adoc,456,"As with base RVI instructions, the offsets of all RVC control transfer instructions are in multiples of 2 bytes.",RVC_OFFSET_ALIGNMENT,no,NORM_DIRECT,value,high,newly discovered
c-st-ext.adoc,693,"For RV32C, _shamt[5]_ must be zero; the code points with _shamt[5]_=1 are designated for custom extensions.",RV32C_SLLI_SHAMT5_RESTRICTION,no,NORM_DIRECT,binary,high,newly discovered
c-st-ext.adoc,713,"For RV32C, _shamt[5]_ must be zero; the code points with _shamt[5]_=1 are designated for custom extensions.",RV32C_SRLI_SHAMT5_RESTRICTION,no,NORM_DIRECT,binary,high,newly discovered
c-st-ext.adoc,825,A 16-bit instruction with all bits zero is permanently reserved as an illegal instruction.,COMPRESSED_ALL_ZERO_ILLEGAL,no,NORM_DIRECT,binary,high,newly discovered
c-st-ext.adoc,869,A portion of the RVC encoding space is reserved for microarchitectural HINTs.,RVC_HINT_SUPPORT,no,NORM_DIRECT,binary,medium,newly discovered
cmo.adoc,103,"The capacity and organization of a cache and the size of a cache block are both _implementation-specific_, and the execution environment provides software a means to discover information about the caches and cache blocks in a system.",CACHE_BLOCK_SIZE,yes,NORM_DIRECT,value,high,
cmo.adoc,106,"In the initial set of CMO extensions, the size of a cache block shall be uniform throughout the system.",UNIFORM_CACHE_BLOCK_SIZE,no,NORM_DIRECT,binary,high,newly discovered
cmo.adoc,334,"If the above constraints are not met, the behavior of a CBO instruction is UNSPECIFIED.",CBO_BEHAVIOR_ON_CONSTRAINT_VIOLATION,no,NORM_DIRECT,enum,medium,newly discovered
cmo.adoc,359,"If neither a load instruction nor store instruction is permitted to access the physical addresses, but an instruction fetch is permitted to access the physical addresses, whether a cache-block management instruction is permitted to access the cache block is UNSPECIFIED.",CBM_ACCESS_ON_IFETCH_ONLY,no,NORM_DIRECT,binary,high,newly discovered
cmo.adoc,598,"Each `x{csrname}` register is WARL; however, software should determine the legal values from the execution environment discovery mechanism.",XENVCFG_LEGAL_VALUES,no,NORM_CSR_WARL,set,high,newly discovered
cmo.adoc,693,"An implementation may update the bytes in any order and with any granularity and atomicity, including individual bytes.",CBO_ZERO_GRANULARITY,no,NORM_DIRECT,enum,high,newly discovered
cmo.adoc,850,"When executing a *cbo.clean* instruction, an implementation may instead perform a flush operation, since the result of that operation is indistinguishable from the sequence of performing a clean operation just before deallocating all cached copies in the set of coherent caches.",FORCE_UPGRADE_CBO_CLEAN_TO_FLUSH,no,NORM_DIRECT,binary,high,newly discovered
cmo.adoc,930,"When executing a *cbo.inval* instruction, an implementation may instead perform a flush operation, since the result of that operation is indistinguishable from the sequence of performing a write transfer to memory just before performing an invalidate operation.",FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,yes,NORM_DIRECT,binary,high,
cmo.adoc,1006,An implementation may or may not update the entire set of bytes atomically.,CBO_ZERO_ATOMICITY,no,NORM_DIRECT,binary,high,newly discovered
counters.adoc,189,"The implemented number and width of these additional counters, and the set of events they count, are platform-specific.",HPM_COUNTER_EN,yes,NORM_DIRECT,bitmask,high,
counters.adoc,189,"The implemented number and width of these additional counters, and the set of events they count, are platform-specific.",HPM_EVENTS,yes,NORM_DIRECT,set,high,
counters.adoc,190,Accessing an unimplemented counter may cause an illegal-instruction exception or may return a constant value.,TRAP_ON_UNIMPLEMENTED_HPM_COUNTER,no,NORM_DIRECT,binary,high,"needs review: multiple UDB matches (TRAP_ON_UNIMPLEMENTED_CSR, TRAP_ON_UNIMPLEMENTED_INSTRUCTION)"
counters.adoc,192,"If the configuration used to select the events counted by a counter is misconfigured, the counter may return a constant value.",HPM_MISCONFIGURED_BEHAVIOR,no,NORM_DIRECT,enum,medium,newly discovered
d-st-ext.adoc,11,"The D extension widens the 32 floating-point registers, `f0-f31`, to 64 bits (FLEN=64 in <<fprs>>).",FLEN,no,NORM_DIRECT,value,high,newly discovered
f-st-ext.adoc,119,"The behavior of floating-point instructions that depend on rounding mode when executed with a reserved rounding mode is _reserved_, including both static reserved rounding modes (101-110) and dynamic reserved rounding modes (101-111).",TRAP_ON_RESERVED_INSTRUCTION,yes,NORM_DIRECT,binary,medium,aligned via fuzzy_name to UDB TRAP_ON_RESERVED_INSTRUCTION
f-st-ext.adoc,158,"Except when otherwise stated, if the result of a floating-point operation is NaN, it is the canonical NaN.",F_CANONICAL_NAN,no,NORM_DIRECT,binary,high,newly discovered
f-st-ext.adoc,226,"As described in <<ldst>>, the execution environment defines whether misaligned floating-point loads and stores are handled invisibly or raise a contained or fatal trap.",MISALIGNED_LDST,yes,NORM_DIRECT,enum,high,
hypervisor.adoc,23,CSR `mtval` must not be read-only zero,MTVAL_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
hypervisor.adoc,24,"standard page-based address translation must be supported, either Sv32 for RV32, or a minimum of Sv39 for RV64",VM_MODES_SUPPORTED,no,NORM_DIRECT,set,high,newly discovered
hypervisor.adoc,158,we use the term _HSXLEN_ to refer to the effective XLEN when executing in HS-mode,SXLEN,yes,NORM_DIRECT,enum,high,
hypervisor.adoc,159,_VSXLEN_ to refer to the effective XLEN when executing in VS-mode,VSXLEN,yes,NORM_DIRECT,enum,high,
hypervisor.adoc,189,an implementation may make VSXL be a read-only field whose value always ensures that VSXLEN=HSXLEN,VSXL_RO_PARAM,no,NORM_CSR_RW,binary,high,newly discovered
hypervisor.adoc,202,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed",VTW_VIRTINSTR_PARAM,no,NORM_DIRECT,binary,high,newly discovered
hypervisor.adoc,213,"GEILEN may be zero, in which case VGEIN may be read-only zero",GEILEN,no,NORM_DIRECT,range,high,newly discovered
hypervisor.adoc,1002,"The `htval` register can optionally also be used to return the faulting guest physical address that faulted, shifted right by 2 bits",HTVAL_TRAPVAL_PARAM,no,NORM_DIRECT,binary,high,"needs review: multiple UDB matches (REPORT_GPA_IN_HTVAL_ON_GUEST_PAGE_FAULT, REPORT_GPA_IN_TVAL_ON_INSTRUCTION_GUEST_PAGE_FAULT, REPORT_GPA_IN_TVAL_ON_INTERMEDIATE_GUEST_PAGE_FAULT, REPORT_GPA_IN_TVAL_ON_LOAD_GUEST_PAGE_FAULT, REPORT_GPA_IN_TVAL_ON_STORE_AMO_GUEST_PAGE_FAULT)"
hypervisor.adoc,1069,Implementations are not required to support all defined MODE settings when HSXLEN=64,HGATP_MODES_SUPPORTED,no,NORM_CSR_WARL,set,high,newly discovered
hypervisor.adoc,1073,The number of VMID bits is UNSPECIFIED and may be zero,VMID_WIDTH,yes,NORM_DIRECT,range,high,
hypervisor.adoc,1075,"the fields of `hgatp` are *WARL* in the normal way, so an unsupported value is simply not stored",GSTAGE_MODE_BARE,yes,NORM_CSR_WARL,binary,high,
hypervisor.adoc,1075,"The least-significant bits of VMID are implemented first: that is, if VMIDLEN > 0, VMID[VMIDLEN-1:0] is writable. The maximal value of VMIDLEN, termed VMIDMAX, is 7 for Sv32x4 or 14 for Sv39x4, Sv48x4, and Sv57x4",HGATP_VMID_LSBS,no,NORM_CSR_RW,bitmask,high,newly discovered
hypervisor.adoc,1439,An implementation may make field UBE be a read-only copy of `hstatus`.VSBE,VSSTATUS_UBE_PARAM,no,NORM_CSR_RW,binary,high,newly discovered
hypervisor.adoc,1568,"when `vsatp` is active, VS-stage page-table entries' A bits must not be set as a result of speculative execution, unless the effective privilege mode is VS or VU",VS_STAGE_SPECULATIVE_A_BIT,no,NORM_DIRECT,binary,medium,newly discovered
hypervisor.adoc,1572,"When V=0, a write to `vsatp` with an unsupported MODE value is either ignored as it is for `satp`, or the fields of `vsatp` are treated as *WARL* in the normal way",VSATP_MODE_UNSUPPORTED_V0,no,NORM_DIRECT,binary,high,newly discovered
hypervisor.adoc,1573,"However, when V=1, a write to `satp` with an unsupported MODE value _is_ ignored and no write to `vsatp` is effected",VSATP_MODE_UNSUPPORTED_V1,no,NORM_DIRECT,binary,high,newly discovered
hypervisor.adoc,2421,"The `mtval2` register can optionally also be used to return the faulting guest physical address that faulted, shifted right by 2 bits",MTVAL2_TRAPVAL_PARAM,no,NORM_DIRECT,binary,high,newly discovered
indirect-csr.adoc,20,A CSR accessible via one method may or may not be accessible via the other method.,CSR_DUAL_ACCESS_SUPPORT,no,NORM_DIRECT,binary,high,newly discovered
indirect-csr.adoc,26,Machine-level and Supervisor-level CSRs with the same select value may be defined by an extension as partial or full aliases with respect to each other.,MSISELECT_ALIASING,no,NORM_DIRECT,enum,medium,newly discovered
indirect-csr.adoc,58,miselect is a WARL register.,MISELECT_LEGAL_VALUES,no,NORM_CSR_WARL,set,high,newly discovered
indirect-csr.adoc,60,The miselect register implements at least enough bits to support all implemented miselect values (corresponding to the implemented extensions that utilize miselect/mireg* to indirectly access register state).,MISELECT_WIDTH,no,NORM_DIRECT,range,high,newly discovered
indirect-csr.adoc,62,The miselect register may be read-only zero if there are no extensions implemented that utilize it.,MISELECT_ACCESS,no,NORM_CSR_RW,binary,high,newly discovered
indirect-csr.adoc,108,The siselect register will support the value range 0..0xFFF at a minimum.,SISELECT_MIN_RANGE,no,NORM_CSR_WARL,range,high,newly discovered
indirect-csr.adoc,175,The vsiselect register will support the value range 0..0xFFF at a minimum.,VSISELECT_MIN_RANGE,no,NORM_CSR_WARL,range,high,newly discovered
indirect-csr.adoc,238,"If extension Smstateen is implemented together with Smcsrind, bit 60 of state-enable register mstateen0 controls access to siselect, sireg*, vsiselect, and vsireg*.",MSTATEEN_CSRIND_TYPE,yes,NORM_CSR_RW,binary,high,
indirect-csr.adoc,249,"If the hypervisor extension is implemented, the same bit is defined also in hypervisor CSR hstateen0, but controls access to only siselect and sireg*",HSTATEEN_CSRIND_TYPE,yes,NORM_CSR_RW,binary,high,
intro.adoc,127,"The implementation of a RISC-V execution environment can be pure hardware, pure software, or a combination of hardware and software. For example, opcode traps and software emulation can be used to implement functionality not provided in hardware.",EXECUTION_ENVIRONMENT_IMPLEMENTATION,no,NORM_DIRECT,enum,medium,newly discovered
intro.adoc,234,"There are two primary base integer variants, RV32I and RV64I, described in <<rv32>> and <<rv64>>, which provide 32-bit or 64-bit address spaces respectively.",BASE_INTEGER_VARIANT,no,NORM_DIRECT,enum,high,newly discovered
intro.adoc,235,We use the term XLEN to refer to the width of an integer register in bits (either 32 or 64).,MXLEN,yes,NORM_DIRECT,enum,high,
intro.adoc,239,The base integer instruction sets use a two's-complement representation for signed integer values.,SIGNED_INTEGER_REPRESENTATION,no,NORM_DIRECT,value,high,newly discovered
intro.adoc,512,"We use the term ILEN (measured in bits) to refer to the maximum instruction length supported by an implementation, and which is always a multiple of IALIGN. For implementations supporting only a base instruction set, ILEN is 32 bits. Implementations supporting longer instructions have larger values of ILEN.",ILEN,no,NORM_DIRECT,range,high,newly discovered
intro.adoc,580,"RISC-V base ISAs have either little-endian or big-endian memory systems, with the privileged architecture further defining bi-endian operation.",MEMORY_ENDIANNESS,no,NORM_DIRECT,enum,high,newly discovered
machine.adoc,23,a value of zero can be returned to indicate the `misa` register has not been implemented,MISA_CSR_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_A,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_B,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_C,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_D,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_F,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_H,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_M,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_Q,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_S,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_U,yes,NORM_CSR_RW,binary,high,
machine.adoc,67,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_V,yes,NORM_CSR_RW,binary,high,
machine.adoc,201,a value of 0 can be returned to indicate the field is not implemented,VENDOR_ID_BANK,yes,NORM_DIRECT,value,high,
machine.adoc,201,a value of 0 can be returned to indicate the field is not implemented,VENDOR_ID_OFFSET,yes,NORM_DIRECT,value,high,
machine.adoc,244,a value of 0 can be returned to indicate the field is not implemented,ARCH_ID_VALUE,yes,NORM_DIRECT,value,high,
machine.adoc,244,a value of 0 can be returned to indicate the field is not implemented,MARCHID_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,
machine.adoc,275,a value of 0 can be returned to indicate that the field is not implemented,IMP_ID_VALUE,yes,NORM_DIRECT,value,high,
machine.adoc,275,a value of 0 can be returned to indicate that the field is not implemented,MIMPID_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,
machine.adoc,679,"The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields",M_MODE_ENDIANNESS,yes,NORM_CSR_WARL,enum,high,
machine.adoc,681,an implementation may make SBE be a read-only copy of MBE,S_MODE_ENDIANNESS,yes,NORM_CSR_RW,enum,high,
machine.adoc,1000,an implementation may make UBE be a read-only copy of either MBE or SBE,U_MODE_ENDIANNESS,yes,NORM_CSR_RW,enum,high,
machine.adoc,1014,it is implementation-defined whether FS transitions to Dirty,HW_MSTATUS_FS_DIRTY_UPDATE,yes,SW_RULE,enum,medium,
machine.adoc,1095,an implementation may make SXL be a read-only field whose value always ensures that SXLEN=MXLEN,SXLEN,yes,NORM_CSR_WARL,enum,high,
machine.adoc,1100,an implementation may make UXL be a read-only field whose value always ensures that UXLEN=MXLEN or UXLEN=SXLEN,UXLEN,yes,NORM_CSR_WARL,enum,high,
machine.adoc,1217,"The `mtvec` register must always be implemented, but can contain a read-only value",MTVEC_ACCESS,yes,NORM_CSR_RW,binary,high,
machine.adoc,1219,"If `mtvec` is writable, the set of values the register may hold can vary by implementation",MTVEC_MODES,yes,NORM_CSR_WARL,set,high,
machine.adoc,1223,The value in the BASE field must always be aligned on a 4-byte boundary,MTVEC_BASE_ALIGNMENT_DIRECT,yes,NORM_CSR_WARL,range,high,
machine.adoc,1224,the MODE setting may impose additional alignment constraints on the value in the BASE field,MTVEC_BASE_ALIGNMENT_VECTORED,yes,NORM_CSR_WARL,range,high,
machine.adoc,1334,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value",MEDELEG_WARL_MASK,no,NORM_CSR_WARL,bitmask,high,newly discovered
machine.adoc,1334,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value",MIDELEG_WARL_MASK,no,NORM_CSR_WARL,bitmask,high,newly discovered
machine.adoc,1413,Each individual bit in register `mip` may be writable or may be read-only,MIP_WRITABLE_MASK,no,NORM_CSR_RW,bitmask,high,newly discovered
machine.adoc,1418,A bit in `mie` must be writable if the corresponding interrupt can ever become pending,MIE_WRITABLE_MASK,no,NORM_CSR_RW,bitmask,high,newly discovered
machine.adoc,1524,The counter-enable `mcounteren` register is a 32-bit register,MCOUNTENABLE_EN,yes,NORM_CSR_RW,bitmask,high,
machine.adoc,1572,"Implementations can convert reads of the `time` and `timeh` CSRs into loads to the memory-mapped `mtime` register, or emulate this functionality",TIME_CSR_IMPLEMENTED,yes,NORM_DIRECT,binary,high,
machine.adoc,1669,The counter-inhibit register `mcountinhibit` is a 32-bit *WARL* register,COUNTINHIBIT_EN,yes,NORM_CSR_RW,bitmask,high,
machine.adoc,2079,The `mtval` register can optionally also be used to return the faulting instruction bits on an illegal-instruction exception,REPORT_ENCODING_IN_MTVAL_ON_ILLEGAL_INSTRUCTION,yes,NORM_DIRECT,binary,high,
machine.adoc,2154,"The `mconfigptr` register must be implemented, but it may be zero to indicate the configuration data structure does not exist",CONFIG_PTR_ADDRESS,yes,NORM_DIRECT,value,high,
machine.adoc,2189,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero",MENVCFG_FIOM_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2207,"If Svpbmt is not implemented, PBMTE is read-only zero",MENVCFG_PBMTE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2226,"If Svadu is not implemented, ADUE is read-only zero",MENVCFG_ADUE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2237,"If Smcdeleg is not implemented, CDE is read-only zero",MENVCFG_CDE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
machine.adoc,2241,"When the Sstc extension is not implemented, `STCE` is read-only zero",MENVCFG_STCE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,newly discovered
